City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Nikolskoye,59.7035,30.7861,62.49,84,42,3.29,RU,2022-08-03 23:12:05
Ushuaia,-54.8,-68.3,37.06,87,40,3.44,AR,2022-08-03 23:11:36
Tasiilaq,65.6145,-37.6368,33.96,71,79,3.15,GL,2022-08-03 23:12:48
Charter Township of Clinton,42.587,-82.9199,75.22,97,100,10.36,US,2022-08-03 23:16:29
Coahuayana Viejo,18.7333,-103.6833,88.52,63,97,5.88,MX,2022-08-03 23:19:56
Tariba,7.8188,-72.2243,75.76,91,92,1.43,VE,2022-08-03 23:19:56
Punta Arenas,-53.15,-70.9167,39.31,87,100,13.8,CL,2022-08-03 23:11:51
Busselton,-33.65,115.3333,52.48,72,90,16.98,AU,2022-08-03 23:12:41
Kruisfontein,-34.0033,24.7314,54.09,95,64,6.35,ZA,2022-08-03 23:19:58
Yellowknife,62.456,-114.3525,60.35,48,85,3.94,CA,2022-08-03 23:12:24
Gouré,13.9835,10.2704,79.83,70,17,5.44,NE,2022-08-03 23:19:58
Taoudenni,22.6783,-3.9836,91.29,39,22,27.92,ML,2022-08-03 23:19:59
Hilo,19.7297,-155.09,84.25,75,0,10.36,US,2022-08-03 23:07:25
Nabire,-3.3667,135.4833,78.08,89,100,2.64,ID,2022-08-03 23:20:00
Shellbrook,53.2168,-106.4011,67.23,45,79,2.51,CA,2022-08-03 23:20:00
Carnarvon,-24.8667,113.6333,64.67,55,98,16.15,AU,2022-08-03 23:13:07
Meïganga,6.5167,14.3,65.37,97,100,2.46,CM,2022-08-03 23:20:01
Port Elizabeth,-33.918,25.5701,57.49,94,0,12.66,ZA,2022-08-03 23:19:59
Cape Town,-33.9258,18.4232,56.12,80,96,7.0,ZA,2022-08-03 23:10:07
Nanortalik,60.1432,-45.2371,49.8,95,100,21.65,GL,2022-08-03 23:11:52
Boa Vista,2.8197,-60.6733,75.18,83,75,3.44,BR,2022-08-03 23:20:04
Avarua,-21.2078,-159.775,78.85,53,20,13.8,CK,2022-08-03 23:11:53
Mossamedes,-15.1961,12.1522,60.17,80,2,5.73,AO,2022-08-03 23:20:05
Hobart,-42.8794,147.3294,55.26,74,20,12.66,AU,2022-08-03 23:12:04
Port Hardy,50.6996,-127.4199,55.58,100,100,5.75,CA,2022-08-03 23:12:20
Kapaa,22.0752,-159.319,84.52,69,20,14.97,US,2022-08-03 23:12:38
Hithadhoo,-0.6,73.0833,80.76,74,97,18.25,MV,2022-08-03 23:11:55
Verkhnyaya Inta,65.9811,60.3094,63.77,60,98,10.42,RU,2022-08-03 23:20:07
Khatanga,71.9667,102.5,51.39,65,100,9.91,RU,2022-08-03 23:12:22
Birao,10.2849,22.7882,71.22,96,85,1.01,CF,2022-08-03 23:20:08
Bredasdorp,-34.5322,20.0403,47.59,93,5,6.06,ZA,2022-08-03 23:11:19
Norman Wells,65.282,-126.8329,64.44,63,75,12.66,CA,2022-08-03 23:15:25
Rikitea,-23.1203,-134.9692,71.64,69,36,15.5,PF,2022-08-03 23:12:04
Paamiut,61.994,-49.6678,47.21,93,100,34.02,GL,2022-08-03 23:20:10
Kamenka,51.3223,42.7678,69.85,55,100,11.25,RU,2022-08-03 23:20:11
Nicoya,10.1483,-85.452,73.76,90,100,6.62,CR,2022-08-03 23:20:11
Oceanside,33.1959,-117.3795,94.19,71,0,11.5,US,2022-08-03 23:19:45
Trincomalee,8.5711,81.2335,79.41,81,100,26.98,LK,2022-08-03 23:20:12
Cockburn Town,21.4612,-71.1419,82.17,76,7,18.86,TC,2022-08-03 23:20:13
Arman',59.7,150.1667,57.02,85,100,4.97,RU,2022-08-03 23:20:14
Lagoa,39.05,-27.9833,74.88,89,4,7.43,PT,2022-08-03 23:20:14
Mugur-Aksy,50.35,90.5,48.27,81,54,2.48,RU,2022-08-03 23:20:15
Dingle,10.9995,122.6711,78.08,90,100,1.99,PH,2022-08-03 23:12:47
Ponta Delgada,37.7333,-25.6667,74.12,94,40,6.91,PT,2022-08-03 23:20:16
Albany,42.6001,-73.9662,87.64,49,4,3.18,US,2022-08-03 23:09:55
Kavieng,-2.5744,150.7967,82.51,78,93,17.92,PG,2022-08-03 23:12:03
Savannah Bight,16.45,-85.85,82.74,77,100,14.99,HN,2022-08-03 23:20:17
Jamestown,42.097,-79.2353,87.03,43,0,11.5,US,2022-08-03 23:12:53
Saint-Michel-des-Saints,46.6834,-73.9159,67.59,71,99,7.63,CA,2022-08-03 23:15:21
Hermanus,-34.4187,19.2345,48.79,84,4,12.08,ZA,2022-08-03 23:11:54
Butaritari,3.0707,172.7902,81.54,77,90,16.17,KI,2022-08-03 23:12:08
Lianhe,47.1333,129.2667,78.19,72,79,1.01,CN,2022-08-03 23:20:21
Qinhuangdao,39.9317,119.5883,83.79,75,99,3.71,CN,2022-08-03 23:20:21
Atuona,-9.8,-139.0333,77.36,80,15,13.6,PF,2022-08-03 23:12:11
Qaanaaq,77.484,-69.3632,45.82,61,63,1.88,GL,2022-08-03 23:12:01
East London,-33.0153,27.9116,69.26,50,66,5.41,ZA,2022-08-03 23:08:58
Chokurdakh,70.6333,147.9167,49.77,64,97,10.65,RU,2022-08-03 23:20:23
Yārāda,17.65,83.2667,82.72,83,40,2.3,IN,2022-08-03 23:20:23
Faanui,-16.4833,-151.75,78.67,75,11,22.53,PF,2022-08-03 23:20:24
Barrow,71.2906,-156.7887,51.82,71,0,16.11,US,2022-08-03 23:12:35
Saint George,37.1041,-113.5841,103.62,23,0,7.0,US,2022-08-03 23:12:10
